Место,Участник,Команда,Группа,Результат,Плавание,T1 ,Вело,T2,Бег,Место м/ж,Место группа,BIB
1,ДМИТРИЙ МЕЛЯХ,"TRISTYLE, Минск, Belarus",М40+,02:10:19.00,00:20:29.39,00:00:25.31,01:07:10.05,00:00:32.32,00:41:41.93,1,1,28
2,АНАТОЛИЙ НОВИКОВ,"ALTIUS!, Минск, Belarus",М40+,02:10:53.26,00:22:22.84,00:00:27.08,01:05:16.10,00:00:37.30,00:42:09.94,2,2,32
3,НИКИТА ХАРИТОНОВ,"Многобор, Светлогорск, Belarus",М18-29,02:11:15.70,00:24:25.41,00:00:27.66,01:06:36.72,00:00:37.67,00:39:08.24,3,1,27
4,АЛЕКСЕЙ ЗАСИМ,"Clowns Triathlon Team, Минск, Belarus",М18-29,02:15:05.12,00:25:13.58,00:00:37.98,01:05:37.28,00:00:33.02,00:43:03.26,4,2,18
5,АРТЕМ ТАРАСЕНКО,"Лично, Витебск, Belarus",М30-39,02:17:25.37,00:25:31.50,00:00:35.77,01:07:36.49,00:00:56.28,00:42:45.33,5,1,24
6,ДМИТРИЙ ГАЦКО,Belarus,М40+,02:18:40.19,00:25:11.41,00:00:39.04,01:05:42.82,00:00:48.58,00:46:18.34,6,3,157
7,ДМИТРИЙ ТОЛКАЧЕВ,"Тристайл, Минск, Belarus",М40+,02:19:37.17,00:25:38.21,00:00:33.62,01:07:30.54,00:00:44.74,00:45:10.06,7,4,31
8,АЛЕКСАНДР НОВИЦКИЙ,"Altius!, Минск, Belarus",М30-39,02:21:07.13,00:27:00.91,00:00:30.67,01:07:24.70,00:00:40.25,00:45:30.60,8,2,15
9,ПАВЕЛ БУЕВИЧ,"Tristyle, Minsk, Belarus",М18-29,02:22:33.68,00:23:39.94,00:00:51.83,01:08:23.57,00:00:41.51,00:48:56.83,9,3,7
10,ВИТАЛИЙ ХАРИТОНОВ,"Многобор, Светлогорск, Belarus",М40+,02:22:50.53,00:28:04.66,00:00:33.77,01:10:09.02,00:00:47.79,00:43:15.29,10,5,25
11,СТАНИСЛАВ ВОРОЖБИТ,"ALTIUS!, Минск, Belarus",М40+,02:24:21.03,00:30:01.63,00:01:02.75,01:08:51.31,00:00:52.81,00:43:32.53,11,6,16
12,СЕРГЕЙ НИКОНЕНКО,"Grebenstar, Минск, Belarus",М40+,02:26:02.85,00:28:44.48,00:00:59.08,01:10:07.00,00:00:44.15,00:45:28.14,12,7,13
