Место,Участник,Команда,Группа,Этап 1,Этап 2,Этап 3,Итоговое время,BIB,,,,Место,Очки в рейтинг
1,ДАХНО АЛЕКСАНДР,"Tristyle, Belarus",М30-39,00:21:30.87,00:18:05.22,00:18:49.73,00:58:25.82,142,,,
2,РАКОВИЧ АНДРЕЙ,Belarus,М40-49,00:21:55.39,00:18:49.21,00:19:13.69,00:59:58.29,102,,,,1,700.0
3,ГРЕБЕНЧУК МАКСИМ,"Grebenstar, Belarus",М30-39,00:22:07.48,00:18:36.16,00:19:34.66,01:00:18.30,152,,,,2,695.67
4,ИТКИН САВЕЛИЙ,Russia,М18-29,00:22:14.44,00:19:00.19,00:19:21.26,01:00:35.89,121,,,,3,691.87
5,ХАРИТОНОВ НИКИТА,"Многобор, Belarus",М18-29,00:22:11.50,00:19:28.22,00:19:30.50,01:01:10.22,103,,,,4,684.45
6,НОВИКОВ АНАТОЛИЙ,"ALTIUS!, Belarus",М40-49,00:22:40.25,00:19:13.05,00:19:46.94,01:01:40.24,171,,,,5,677.96
7,КОЧЕРЖУК АЛЕКСАНДР,"ON-BIKE, Belarus",М40-49,00:21:54.76,00:20:45.66,00:19:19.65,01:02:00.07,122,,,,6,673.68
8,ГУШТЫН НИКИТА,Belarus,М18-29,00:22:10.86,00:20:43.47,00:19:13.93,01:02:08.26,176,,,,7,671.91
9,МАРКОВИЧ АЛЕКСАНДР,"Могилев триатлон Тим, Belarus",М50-59,00:23:10.76,00:19:25.46,00:19:34.07,01:02:10.29,108,,,,8,671.47
10,ЗАСИМ АЛЕКСЕЙ,"Clowns Triathlon Team, Belarus",М18-29,00:23:07.75,00:19:38.20,00:19:57.08,01:02:43.03,134,,,,9,664.39
11,KOLTOVICH ANDREI,Belarus,М40-49,00:22:37.49,00:20:53.21,00:20:41.10,01:04:11.80,174,,,
12,ХАРИТОНОВ ВИТАЛИЙ,"Многобор, Belarus",М40-49,00:23:08.27,00:20:33.78,00:20:40.75,01:04:22.80,104,,,,10,642.83
13,ШИПУЛЬ АНДРЕЙ,"Yellow submarine, Belarus",М30-39,00:23:37.86,00:20:53.39,00:20:28.92,01:05:00.17,111,,,,11,634.75
14,НОВИЦКИЙ АЛЕКСАНДР,"Altius!, Belarus",М30-39,00:23:07.42,00:21:04.57,00:20:50.82,01:05:02.81,105,,,,12,634.18
15,ГОЛОВАЧЕНКО ДЕНИС,"nedmotorsport, Belarus",М40-49,00:23:19.23,00:20:48.73,00:21:19.12,01:05:27.08,106,,,,13,628.93
16,ЛАРИОНОВ АНДРЕЙ,"BikeTourist.club, Belarus",М40-49,00:23:20.59,00:21:49.09,00:20:40.67,01:05:50.35,123,,,,14,623.9
17,МАЛЫШЕВ ЕВГЕНИЙ,"Tristyle, Belarus",М18-29,00:23:27.57,00:22:34.54,00:20:29.10,01:06:31.21,158,,,
18,ВИКЕНТЬЕВ АЛЕКСЕЙ,Belarus,М40-49,00:24:16.56,00:21:35.71,00:20:41.70,01:06:33.97,112,,,,15,614.47
19,МАКСИМ КУШЕЛЬ,Belarus,М18-29,00:23:28.47,00:22:05.73,00:21:02.87,01:06:37.07,117,,,,16,613.8
