Место,Участник,Команда,Группа,Этап 1,Этап 2,Этап 3,Итоговое время,BIB,,,
48,ВИКЕНТЬЕВА ЕЛЕНА,Belarus,Ж40+,00:27:24.17,00:24:30.83,00:24:46.96,01:16:41.96,127,,,
49,ЮЩЕНКО ПОЛИНА,"Tristyle, Belarus",Ж18-39,00:27:00.50,00:26:37.86,00:24:27.71,01:18:06.07,160,,,
50,CHEREMISINOVA ANNA,"Anaerobe, Belarus",Ж18-39,00:27:33.88,00:25:47.29,00:24:54.42,01:18:15.59,129,,,
51,ЛЮТАРЕВИЧ АЛЕКСАНДРА,"Tristyle, Belarus",Ж18-39,00:28:28.01,00:24:32.40,00:25:37.76,01:18:38.17,128,,,
56,ТИШКЕВИЧ ЮЛИЯ,"On-Bike, Belarus",Ж18-39,00:28:24.97,00:27:20.90,00:26:09.68,01:21:55.55,159,,,
63,ЛАПКО АНАСТАСИЯ,Belarus,Ж18-39,00:30:36.98,00:29:46.06,00:25:49.63,01:26:12.67,166,,,
65,КЛИМАШЁНОК АНЖЕЛА,"Altius, Belarus",Ж18-39,00:31:59.15,00:29:59.79,00:26:29.92,01:28:28.86,157,,,
67,NAVUMENKA HANNA,Belarus,Ж18-39,00:31:57.06,00:32:51.77,00:29:31.42,01:34:20.25,144,,,
69,ЛУКЬЯНОВА ВИКТОРИЯ,Belarus,Ж18-39,00:36:05.55,00:32:40.23,00:31:16.64,01:40:02.42,164,,,
70,ВОЙТОВИЧ МАРИЯ,"RunStudio, Belarus",Ж18-39,00:37:00.20,00:34:49.67,00:34:28.00,01:46:17.87,168,,,
71,МОИСЕЕВА ВЕРОНИКА,"Падабайка-RUN / БФТ / Daily Sport Club/Моржи Столицы, Belarus",Ж40+,00:40:45.65,00:35:29.46,00:33:50.88,01:50:05.99,126,,,
