№,ФИО,ПВК,Итоговое место,Время плавания,Темп плавания,"Место плавания
АБС","Место плавания
ПВК",Время вело,,Средняя скорость,"Место вело
АБС","Место вело
ПВК",время Т2,Время бега,Темп бега,"Место бега
АБС","Место бега 
ПВК",Итоговое время,,Итоговое место,"Место
ПВК",Пол
27,Шинкарёв Алексей,М40-49,1,03:45,01:30,17,6,10:15,"0,17","46,83",1,1,0:00:22,07:31,03:46,5,2,21:53,21:53,1,,М
30,Гуштын Никита,М18-29,2,03:24,01:22,8,2,11:21,"0,19","42,29",11,2,0:00:20,07:16,03:38,3,2,22:21,22:21,2,,М
2,Кость Максим,М40-49,3,03:45,01:30,17,6,10:49,"0,18","44,38",2,2,0:00:17,07:45,03:53,11,4,22:36,22:36,3,,М
3,Коротыш Фёдор,М18-29,4,03:26,01:22,10,3,11:21,"0,19","42,29",11,2,0:00:21,07:33,03:47,7,3,22:41,22:41,4,1,М
21,Мостовский Николай,М30-39,5,02:45,01:06,1,1,11:45,"0,20","40,85",21,6,0:00:26,0:08:13,0:04:07,19,5,23:09,23:09,5,1,М
41,Шипуль Андрей,М30-39,6,03:37,01:27,13,6,11:26,"0,19","41,98",15,4,0:00:25,07:42,03:51,10,3,23:10,23:10,6,2,М
42,Петровичев Валентин,М30-39,7,04:02,01:37,28,11,11:21,"0,19","42,29",11,3,0:00:24,07:32,03:46,6,2,23:19,23:19,7,3,М
37,Гацко Дмитрий,М50+,8,03:25,01:22,9,1,11:23,"0,19","42,17",14,2,0:00:36,07:58,03:59,14,2,23:22,23:22,8,1,М
67,Головаченко Денис,М40-49,9,03:37,01:27,13,4,11:51,"0,20","40,51",26,13,0:00:15,07:41,03:51,9,3,23:24,23:24,9,1,М
83,Викентьев Алексей,М50+,10,04:17,01:43,37,2,11:03,"0,18","43,44",10,1,0:00:26,07:39,03:50,8,1,23:25,23:25,10,2,М
61,Иткин Савелий,М18-29,11,03:16,01:18,3,1,11:40,"0,19","41,14",19,5,0:00:25,08:06,04:03,17,5,23:27,23:27,11,2,М
85,Ракович Андрей,М40-49,12,03:08,01:15,2,1,12:10,"0,20","39,45",37,17,0:00:15,07:55,03:58,13,5,23:28,23:28,12,2,М
